case_name,pdb_id,pdb_file,partner1_chains,partner2_chains,source,split,enabled
BM5_1A2K_A_B,1A2K,data/raw_pdb_expanded_bm5/BM5_1A2K_A_B.pdb,A,B,BM5-clean,test,1
BM5_1BJ1_A_B,1BJ1,data/raw_pdb_expanded_bm5/BM5_1BJ1_A_B.pdb,A,B,BM5-clean,train,1
BM5_1EZU_A_B,1EZU,data/raw_pdb_expanded_bm5/BM5_1EZU_A_B.pdb,A,B,BM5-clean,val,1
BM5_1FCC_A_B,1FCC,data/raw_pdb_expanded_bm5/BM5_1FCC_A_B.pdb,A,B,BM5-clean,train,1
BM5_1JWH_A_B,1JWH,data/raw_pdb_expanded_bm5/BM5_1JWH_A_B.pdb,A,B,BM5-clean,train,1
BM5_1ML0_A_B,1ML0,data/raw_pdb_expanded_bm5/BM5_1ML0_A_B.pdb,A,B,BM5-clean,train,1
BM5_1OFU_A_B,1OFU,data/raw_pdb_expanded_bm5/BM5_1OFU_A_B.pdb,A,B,BM5-clean,train,1
BM5_1QFW_A_B,1QFW,data/raw_pdb_expanded_bm5/BM5_1QFW_A_B.pdb,A,B,BM5-clean,train,1
BM5_1RLB_A_B,1RLB,data/raw_pdb_expanded_bm5/BM5_1RLB_A_B.pdb,A,B,BM5-clean,train,1
BM5_1RV6_A_B,1RV6,data/raw_pdb_expanded_bm5/BM5_1RV6_A_B.pdb,A,B,BM5-clean,train,1
BM5_1WDW_A_B,1WDW,data/raw_pdb_expanded_bm5/BM5_1WDW_A_B.pdb,A,B,BM5-clean,train,1
BM5_1XU1_A_B,1XU1,data/raw_pdb_expanded_bm5/BM5_1XU1_A_B.pdb,A,B,BM5-clean,train,1
BM5_2B4J_A_B,2B4J,data/raw_pdb_expanded_bm5/BM5_2B4J_A_B.pdb,A,B,BM5-clean,train,1
BM5_3BP8_A_B,3BP8,data/raw_pdb_expanded_bm5/BM5_3BP8_A_B.pdb,A,B,BM5-clean,test,1
BM5_3LVK_A_B,3LVK,data/raw_pdb_expanded_bm5/BM5_3LVK_A_B.pdb,A,B,BM5-clean,train,1
BM5_4FQI_A_B,4FQI,data/raw_pdb_expanded_bm5/BM5_4FQI_A_B.pdb,A,B,BM5-clean,train,1
BM5_4GXU_A_B,4GXU,data/raw_pdb_expanded_bm5/BM5_4GXU_A_B.pdb,A,B,BM5-clean,val,1
BM5_4HX3_A_B,4HX3,data/raw_pdb_expanded_bm5/BM5_4HX3_A_B.pdb,A,B,BM5-clean,train,1
BM5_4LW4_A_B,4LW4,data/raw_pdb_expanded_bm5/BM5_4LW4_A_B.pdb,A,B,BM5-clean,train,1
