config_name,seed,model,input_dim,hidden_channels,heads,dropout,beta,lr,weight_decay,best_epoch,threshold,val_p1,val_r1,val_f1,val_acc,test_p1,test_r1,test_f1,test_acc,tn,fp,fn,tp
baseline_h16_heads4_do0.3_lr0.003_wd1e-3_beta,7,TransformerConv,19,16,4,0.3,True,0.003,0.001,5,0.5100000000000001,0.4300254452926209,0.6145454545454545,0.5059880239520959,0.9668741216623168,0.3041825095057034,0.6451612903225806,0.4134366925064599,0.9431220245552493,7368,366,88,160
baseline_h16_heads4_do0.3_lr0.003_wd1e-3_beta,42,TransformerConv,19,16,4,0.3,True,0.003,0.001,0,0.25000000000000006,0.3490759753593429,0.6181818181818182,0.4461942257217848,0.9576390283075688,0.2041025641025641,0.8024193548387096,0.32542927228127555,0.8966424455023804,6958,776,49,199
baseline_h16_heads4_do0.3_lr0.003_wd1e-3_beta,21,TransformerConv,19,16,4,0.3,True,0.003,0.001,10,0.6000000000000002,0.28668941979522183,0.9163636363636364,0.43674176776429807,0.9347520578197149,0.23730569948186528,0.9233870967741935,0.37757625721352017,0.905412177399148,6998,736,19,229
h16_heads4_do0.2_lr0.003_wd1e-3_beta,7,TransformerConv,19,16,4,0.2,True,0.003,0.001,5,0.5600000000000002,0.5602836879432624,0.5745454545454546,0.5673249551166966,0.9758080706685405,0.35827664399092973,0.6370967741935484,0.45863570391872277,0.953269857178652,7451,283,90,158
h16_heads4_do0.2_lr0.003_wd1e-3_beta,42,TransformerConv,19,16,4,0.2,True,0.003,0.001,10,0.6000000000000002,0.3926605504587156,0.7781818181818182,0.5219512195121951,0.9606504717928127,0.22188139059304704,0.875,0.3539967373572594,0.9007767476822851,6973,761,31,217
h16_heads4_do0.2_lr0.003_wd1e-3_beta,21,TransformerConv,19,16,4,0.2,True,0.003,0.001,5,0.6000000000000002,0.5681818181818182,0.6363636363636364,0.6003430531732419,0.9766111222646054,0.39823008849557523,0.7258064516129032,0.5142857142857142,0.9574041593585567,7462,272,68,180
h16_heads4_do0.4_lr0.003_wd1e-3_beta,7,TransformerConv,19,16,4,0.4,True,0.003,0.001,5,0.49000000000000005,0.3443708609271523,0.5672727272727273,0.42857142857142855,0.9582413170046176,0.26443768996960487,0.7016129032258065,0.3841059602649007,0.9300927085943372,7250,484,74,174
h16_heads4_do0.4_lr0.003_wd1e-3_beta,42,TransformerConv,19,16,4,0.4,True,0.003,0.001,5,0.5300000000000001,0.42326732673267325,0.6218181818181818,0.5036818851251841,0.9661714515157599,0.4111111111111111,0.4475806451612903,0.42857142857142855,0.9629165622650965,7575,159,137,111
h16_heads4_do0.4_lr0.003_wd1e-3_beta,21,TransformerConv,19,16,4,0.4,True,0.003,0.001,5,0.5600000000000002,0.47757255936675463,0.6581818181818182,0.5535168195718655,0.9706886167436258,0.2804232804232804,0.6411290322580645,0.3901840490797546,0.9377349035329491,7326,408,89,159
h16_heads2_do0.3_lr0.003_wd1e-3_beta,7,TransformerConv,19,16,2,0.3,True,0.003,0.001,10,0.5500000000000002,0.5,0.6145454545454545,0.5513866231647635,0.972395101385264,0.3789237668161435,0.6814516129032258,0.48703170028818443,0.9553996492107242,7457,277,79,169
h16_heads2_do0.3_lr0.003_wd1e-3_beta,42,TransformerConv,19,16,2,0.3,True,0.003,0.001,20,0.6000000000000002,0.30492676431424764,0.8327272727272728,0.44639376218323584,0.9429833366793816,0.18272425249169436,0.8870967741935484,0.30303030303030304,0.8732147331495865,6750,984,28,220
h16_heads2_do0.3_lr0.003_wd1e-3_beta,21,TransformerConv,19,16,2,0.3,True,0.003,0.001,5,0.6000000000000002,0.325,0.6618181818181819,0.4359281437125748,0.9527203372816704,0.24046242774566473,0.8387096774193549,0.37376460017969454,0.9126785266850413,7077,657,40,208
h32_heads2_do0.4_lr0.003_wd2e-3_beta,7,TransformerConv,19,32,2,0.4,True,0.003,0.002,5,0.5100000000000001,0.4507042253521127,0.46545454545454545,0.45796064400715564,0.9695844207990363,0.28452579034941766,0.6895161290322581,0.4028268551236749,0.9364820846905537,7304,430,77,171
h32_heads2_do0.4_lr0.003_wd2e-3_beta,42,TransformerConv,19,32,2,0.4,True,0.003,0.002,5,0.5000000000000001,0.5060240963855421,0.610909090909091,0.5535420098846787,0.9727966271832965,0.4396887159533074,0.45564516129032256,0.44752475247524753,0.9650463542971687,7590,144,135,113
h32_heads2_do0.4_lr0.003_wd2e-3_beta,21,TransformerConv,19,32,2,0.4,True,0.003,0.002,5,0.5400000000000001,0.46756756756756757,0.6290909090909091,0.5364341085271318,0.9699859465970688,0.2647058823529412,0.7258064516129032,0.3879310344827586,0.9288398897519419,7234,500,68,180
